,TF,index
235,LMO4,612
236,SOX15,614
237,VEZF1,620
238,BMP4,621
239,SNAPC3,625
240,TCF12,626
241,H1F0,633
242,E2F2,634
243,ARNT2,635
244,ID4,636
245,GABBR1,638
246,NR5A2,639
247,MLLT1,642
248,NOTCH1,645
249,MEF2D,646
250,NFIA,647
251,RUVBL2,649
252,NR1D1,650
253,BACH2,653
254,GNRH1,654
255,ZFP91,657
256,CREB3L2,659
257,GTF2I,660
258,TRIM13,661
259,POU4F1,665
260,CREB5,667
261,PIAS3,668
262,MAZ,671
263,RUNX3,672
264,MEF2C,674
265,ZBTB3,677
266,SFPQ,681
267,TRPS1,682
268,ING3,687
269,TLE1,688
270,RBBP7,691
271,HIST1H2BB,692
272,ZEB2,693
273,PHF14,695
274,HCFC1,696
275,MYD88,702
276,ZFP768,704
277,NFX1,714
278,POLR3F,715
279,TTF2,717
280,PCBP2,718
281,CBX8,719
282,CNOT6,725
283,BTBD11,726
284,KLF13,727
285,CRABP2,729
286,JUND,733
287,SIN3B,739
288,TGFB1I1,742
289,NR2F2,744
290,PHF1,745
291,TGFB1,746
292,CIC,748
293,ZIC3,749
294,EBF4,750
295,NCOA3,753
296,PAWR,755
297,POLR2A,756
298,HIST1H1D,763
299,ING1,765
300,NCOR1,766
301,MYBBP1A,768
302,RELA,773
303,ELK1,774
304,SRSF3,776
305,FIZ1,777
306,PRDM14,781
307,UTF1,785
308,CNOT8,787
309,TSHZ3,795
310,SP1,796
311,TEAD4,798
312,HDAC1,799
313,MCM5,801
314,SMURF1,804
315,RNF19A,811
316,TRIP11,815
317,INTS12,816
318,AATF,818
319,ETV1,820
320,NANOG,821
321,BRPF1,824
322,MDM2,825
323,ESRRA,828
324,MCM3,830
325,CTNNBL1,832
326,CITED2,834
327,AES,835
328,ZFP423,839
329,ATF2,844
330,EPAS1,850
331,SOX17,852
332,BCLAF1,853
333,EHMT2,855
334,DDX20,858
335,E2F6,863
336,TAF1A,864
337,BRCA2,866
338,MEIS3,869
339,SAP30,872
340,PDCD11,873
341,HNRNPAB,880
342,ZBTB43,881
343,RUNX1,882
344,TCF7,883
345,TMF1,886
346,PHC1,889
347,SALL1,890
348,ID3,897
349,TCF7L2,903
350,NFYB,905
351,POLR1E,907
352,TRIP6,909
353,NFYA,910
354,MAML1,911
355,E2F1,913
356,TCOF1,914
357,IKBKB,916
358,HDAC3,926
359,PURA,936
360,POLR2J,941
361,SRF,945
362,HMGA1,946
363,HIF3A,948
364,NRIP1,949
365,TAF6L,953
366,JMJD1C,954
367,MYC,955
368,SMAD7,956
369,RHOX6,962
370,FOXJ2,963
371,TET1,966
372,FOXO1,967
373,IRF3,968
374,TRIM24,970
375,OVOL1,971
376,SERTAD2,972
377,DAXX,976
378,MLXIPL,981
379,MSX2,983
380,JARID2,986
381,GLI2,989
382,FOXQ1,992
383,CRY1,994
384,PMS1,995
385,RNF14,996
386,AKT1,999
387,ZBTB39,1002
388,DDX54,1004
389,SSB,1005
390,MEF2A,1007
391,SND1,1009
392,ESRRB,1011
393,MEIS1,1013
394,CELF3,1014
395,TEAD1,1015
396,XAB2,1020
397,ATF1,1021
398,YEATS2,1023
399,MED15,1024
400,NACC1,1025
401,MCM6,1029
402,TRRAP,1030
403,PCBD1,1032
404,PHF2,1034
405,NCOA6,1036
406,SCMH1,1038
407,KANK2,1039
408,XBP1,1041
409,AIRE,1042
410,ETV3,1043
411,MKX,1044
412,KLF15,1046
413,GTF2A1L,1052
414,CHD7,1053
415,SREBF1,1056
416,GTF3C1,1060
417,NFE2L1,1061
418,NFKB2,1062
419,TBL1X,1063
420,ZFP398,1064
421,ELF3,1070
422,RUVBL1,1072
423,NOTCH2,1074
424,PBX4,1075
425,ZBTB10,1077
426,HOPX,1082
427,FUS,1084
428,POLR3D,1087
429,BIN1,1090
430,HNRNPK,1093
431,SMAD2,1094
432,HIVEP2,1095
433,ETS1,1099
434,HIF1A,1100
435,TFAP2C,1102
436,ATF4,1108
437,ID2,1116
438,POU5F1,1118
439,RAPGEF3,1119
440,EWSR1,1122
441,ASXL1,1125
442,ZFP592,1130
443,DIDO1,1132
444,DDX21,1140
445,GABPA,1143
446,FXR1,1147
447,KHDRBS1,1152
448,RFX7,1153
449,GBX2,1155
450,CNOT3,1159
451,NKRF,1163
452,PELP1,1171
453,RLIM,1173
454,PARP1,1174
455,PA2G4,1175
456,CNOT7,1176
457,SOX7,1178
458,KAT2B,1182
459,PKNOX2,1185
460,CUX2,1186
461,TNFAIP3,1187
462,ILF2,1188
463,THRAP3,1196
464,HMGXB4,1206
465,TADA3,1207
466,PRDM5,1209
467,HNF1B,1210
468,MAFK,1212
469,IRF4,1216
470,PSIP1,1217
471,CEBPZ,1220
472,TRIM32,1221
473,HES6,1234
474,TBPL1,1238
475,HEXIM1,1242
476,NRF1,1244
477,WWTR1,1245
478,DNMT3A,1246
479,NFATC2IP,1247
480,SRSF1,1248
481,ARID1A,1251
482,CREBZF,1254
483,ZBTB38,1255
484,SRSF6,1257
485,RBL1,1258
486,TGIF1,1261
487,MITF,1265
488,STAT4,1266
489,RCOR2,1267
490,EZH2,1271
491,KNTC1,1273
492,ZBTB24,1274
493,EP300,1275
494,EGR1,1276
495,RBMX,1280
496,TBX3,1281
497,ARID5B,1283
498,PLRG1,1285
499,SPEN,1286
500,TFEB,1287
501,BTAF1,1290
502,PML,1291
503,RERE,1293
504,NR0B1,1294
505,KRBA1,1297
506,POU6F1,1300
507,FOSL2,1301
508,KLF4,1302
509,COPS2,1306
510,BMP6,1307
511,NOTCH4,1313
512,ARNTL,1319
513,ETV6,1324
514,PITX2,1326
515,STAT5B,1328
516,DNMT1,1329
517,ILK,1333
518,SIN3A,1335
519,BRCA1,1341
520,LDB1,1344
521,ETV5,1345
522,ZEB1,1346
523,NPAS2,1348
524,ELK4,1349
525,GZF1,1354
526,DAB2,1357
527,EYA1,1358
528,TOP2B,1364
529,ELF4,1366
530,DDX5,1367
531,COIL,1368
532,ATF5,1374
533,TFAP4,1375
534,ZSWIM4,1380
535,HSF2,1384
536,ZMYND11,1387
537,HMGXB3,1391
538,SUZ12,1392
539,PAX1,1395
540,GLIS2,1397
541,MAPK11,1399
542,DNAJC2,1400
543,KLF9,1404
544,POU2F1,1405
545,SIX1,1407
546,MED4,1410
547,SIRT3,1418
548,PEG3,1420
549,HDAC5,1421
550,BRWD1,1423
551,DPPA2,1429
552,ZFP276,1434
553,BCL3,1435
554,ERF,1436
555,REST,1438
556,NFATC1,1439
557,RBBP4,1440
558,NR2F6,1442
559,RARA,1448
560,SOS2,1449
561,POLR2H,1450
562,BTG1,1451
563,ZFP281,1452
564,HMGB2,1453
565,PLAGL2,1454
566,ZBTB20,1455
567,FOXH1,1456
568,ABT1,1458
569,KEAP1,1465
570,CALCOCO1,1466
571,CHD5,1467
572,WBP11,1468
573,TRIM25,1472
574,RBM14,1474
575,TFCP2L1,1475
576,MEN1,1478
577,SATB1,1485
578,KLF8,1488
579,NFXL1,1493
580,TEAD3,1494
581,DTX1,1495
582,CENPB,1497
583,PAX6,1498
584,CUX1,1501
585,SMARCC1,1502
586,POLR3B,1505
587,ZFP57,1515
588,TFE3,1517
589,RBFOX2,1518
590,PROX1,1519
591,ZFP236,1524
592,TOPORS,1530
593,SMARCAD1,1532
594,TOX4,1533
595,ANKRD54,1540
596,EED,1541
597,BAZ1A,1545
598,MPHOSPH8,1547
599,BRD7,1549
600,SMARCA5,1553
601,ZSCAN10,1554
602,RAD54B,1556
603,ETV4,1559
604,E2F4,1562
605,KLF6,1563
606,DDB2,1569
607,HOXD13,1572
608,MYBL2,1573
609,PBXIP1,1577
610,HDGF,1580
611,MTA3,1581
612,TCEA3,1583
613,CNOT6L,1584
614,ZFAND3,1585
615,IRF1,1587
616,GRHL1,1588
617,HSBP1,1593
618,NSD1,1598
619,ASH1L,1601
620,BARX1,1602
621,STAT5A,1603
622,DEK,1604
623,NFIC,1607
624,HEY2,1608
625,SOX4,1609
626,ZFP335,1612
627,CBX6,1615
