Gene1,Gene2
BTAF1,ZFP335
BTAF1,TFRC
BTAF1,ELF1
BTAF1,NOTCH2
BTAF1,PSIP1
BTAF1,SMARCA5
BTAF1,HSP90AA1
BTAF1,ULK1
BTAF1,HIST1H2AC
BTAF1,E2F6
BTAF1,ELP2
BTAF1,ELK4
BTAF1,BRCA2
BTAF1,FGF4
BTAF1,SMARCD1
BTAF1,PHF20
BTAF1,ATF1
BTAF1,DIDO1
BTAF1,KPNA2
BTAF1,SIRT1
BTAF1,GLDC
BTAF1,MYLPF
BTAF1,ASH2L
BTAF1,EP400
BTAF1,GDPD5
BTAF1,FXR2
BTAF1,ODC1
BTAF1,MCM6
BTAF1,SURF4
BTAF1,RANBP17
BTAF1,SUB1
BTAF1,SRRT
BTAF1,HIST1H3H
BTAF1,HIST1H2BL
BTAF1,HIST1H2AI
BTAF1,MAML1
BTAF1,ALPL
BTAF1,HNRNPAB
BTAF1,RFX2
BTAF1,RNF14
BTAF1,MYBL2
BTAF1,ATF5
BTAF1,COBL
BTAF1,NRF1
BTAF1,PRDM5
BTAF1,NACC1
BTAF1,HIST1H2AF
BTAF1,ORC2
BTAF1,YBX1
BTAF1,TPM4
BTAF1,TPD52
BTAF1,XBP1
BTAF1,PDK1
BTAF1,NEDD4
BTAF1,FBLIM1
BTAF1,PHC1
BTAF1,BRD7
BTAF1,SHROOM3
BTAF1,EZH1
BTAF1,ARID1A
BTAF1,HIST1H2BN
BTAF1,HIST1H2AK
BTAF1,ZBTB39
BTAF1,RBL1
BTAF1,TXNDC12
BTAF1,BCLAF1
BTAF1,FOXJ3
BTAF1,CNOT6
BTAF1,TIMELESS
BTAF1,PHLDA3
BTAF1,CTNNBIP1
BTAF1,PATJ
BTAF1,NUP210
BTAF1,TCEA1
BTAF1,SRF
BTAF1,RAD54B
BTAF1,TAF10
BTAF1,SLC16A1
BTAF1,TEAD4
BTAF1,YEATS2
BTAF1,DEK
BTAF1,CBX7
BTAF1,ASNS
BTAF1,USF1
BTAF1,RFX7
BTAF1,CAR2
BTAF1,BEX1
BTAF1,TULP3
BTAF1,SP1
BTAF1,KEAP1
BTAF1,ZFP148
BTAF1,FUBP3
BTAF1,E2F2
BTAF1,GLIS2
BTAF1,GSR
BTAF1,MLXIP
BTAF1,SMARCAD1
BTAF1,TSG101
BTAF1,MARC2
BTAF1,PELP1
BTAF1,TRIM28
BTAF1,HMCES
BTAF1,NOTCH1
BTAF1,HDAC1
BTAF1,ZBTB38
BTAF1,MKRN1
BTAF1,SMURF1
BTAF1,EBF4
BTAF1,EIF4A2
BTAF1,CNOT3
BTAF1,ARHGAP29
BTAF1,SERTAD2
BTAF1,PIAS2
BTAF1,ETV3
BTAF1,GLS
BTAF1,HIST1H1D
BTAF1,XRCC6
BTAF1,ITPK1
BTAF1,TMF1
BTAF1,LAMC1
BTAF1,FOXJ2
BTAF1,MOV10
BTAF1,SRSF6
BTAF1,DNMT1
BTAF1,ATP13A3
BTAF1,RELA
BTAF1,TSPAN9
BTAF1,SMARCA4
BTAF1,YEATS4
BTAF1,SMARCC1
BTAF1,GABPA
BTAF1,ZFP281
BTAF1,TRIM24
BTAF1,SLC6A6
BTAF1,ZSWIM4
BTAF1,MTA3
BTAF1,TRIM13
BTAF1,RNF2
BTAF1,CREB3
BTAF1,ABHD5
BTAF1,INSIG1
BTAF1,ELL2
BTAF1,ETV5
BTAF1,AATF
BTAF1,ITGA6
BTAF1,ZBTB43
BTAF1,P3H1
BTAF1,ZFP277
BTAF1,SFPQ
BTAF1,TEAD1
BTAF1,ZFHX3
BTAF1,IRF1
BTAF1,PODXL
BTAF1,APBB1
BTAF1,TOP2B
BTAF1,HIST1H2BF
BTAF1,FOXP1
BTAF1,BTF3
BTAF1,NCOR1
BTAF1,SUZ12
BTAF1,FAM129B
BTAF1,NFKBIA
BTAF1,RNF19A
BTAF1,KLF2
BTAF1,TCERG1
BTAF1,PARP1
BTAF1,LAMA1
BTAF1,FIZ1
BTAF1,NFATC3
BTAF1,HMGXB3
BTAF1,CD63
BTAF1,EWSR1
BTAF1,RIF1
BTAF1,ZFP276
BTAF1,SSB
BTAF1,EDEM1
BTAF1,RBFOX2
BTAF1,ARNT2
BTAF1,MYCN
BTAF1,WBP11
BTAF1,SRSF3
BTAF1,HOXD13
BTAF1,KDM5B
BTAF1,ESRRA
BTAF1,LDLRAP1
BTAF1,HDAC5
BTAF1,HSPG2
BTAF1,MEF2D
BTAF1,ZFP592
BTAF1,EP300
BTAF1,AMOTL2
BTAF1,TUBB6
BTAF1,GABARAPL2
BTAF1,RYBP
BTAF1,NR4A1
BTAF1,ZFP398
BTAF1,MDM2
BTAF1,PLAGL2
BTAF1,SLC25A4
BTAF1,EZH2
BTAF1,JMJD1C
BTAF1,NR1D2
BTAF1,NFX1
BTAF1,DNAJC10
BTAF1,ZFP768
BTAF1,TXNDC5
BTAF1,HDGF
BTAF1,GNPDA1
BTAF1,PHB2
BTAF1,MEF2A
BTAF1,TAF9
BTAF1,HDLBP
BTAF1,F3
BTAF1,CNOT7
BTAF1,PIAS1
BTAF1,ME1
BTAF1,HIF3A
BTAF1,TYRO3
BTAF1,BCL3
BTAF1,MSH6
BTAF1,MYO6
BTAF1,SLC7A6
BTAF1,CTBP1
BTAF1,EED
BTAF1,ZFAND3
BTAF1,BRWD1
BTAF1,MME
BTAF1,ADAM23
BTAF1,NCOA3
BTAF1,MLLT1
BTAF1,IGFBP2
BTAF1,HIF1A
BTAF1,TRPS1
BTAF1,PATZ1
BTAF1,TNFAIP3
BTAF1,CDC5L
BTAF1,DR1
BTAF1,EFEMP2
BTAF1,TNK2
BTAF1,CDC42SE2
BTAF1,SSBP4
BTAF1,LDB1
BTAF1,ZBTB24
BTAF1,RARA
BTAF1,P4HB
BTAF1,HDAC2
BTAF1,DAZAP2
BTAF1,PDCD4
BTAF1,TET2
BTAF1,TCF12
BTAF1,PURA
BTAF1,PIAS3
BTAF1,MRAS
BTAF1,KDELR2
BTAF1,P4HA1
BTAF1,LAMB2
BTAF1,TIMP2
BTAF1,TCF7
BTAF1,ILK
BTAF1,COIL
BTAF1,P3H4
BTAF1,ELAVL2
BTAF1,RRM2
BTAF1,RFXAP
BTAF1,NFE2L1
BTAF1,PHF14
BTAF1,TBX3
BTAF1,SRM
BTAF1,KIT
BTAF1,RAB11A
BTAF1,ANKRD54
BTAF1,PLOD2
BTAF1,CTCF
BTAF1,AIP
BTAF1,HMGB2
BTAF1,KLF3
BTAF1,RAI14
BTAF1,GRHL1
BTAF1,POLR2H
BTAF1,GLIPR2
BTAF1,NFYA
BTAF1,LAMA5
BTAF1,NFE2L2
BTAF1,JDP2
BTAF1,HES1
BTAF1,BRPF1
BTAF1,GBX2
BTAF1,KDM3A
BTAF1,GRIN1
BTAF1,SEMA4C
BTAF1,APEX1
BTAF1,ZFYVE21
BTAF1,RERE
BTAF1,PRRX2
BTAF1,EOMES
BTAF1,RBBP4
BTAF1,RASGRP2
BTAF1,ERP29
BTAF1,SCMH1
BTAF1,MAN1A2
BTAF1,KLF15
BTAF1,HDAC4
BTAF1,ANKRD6
BTAF1,RAD51
BTAF1,HTT
BTAF1,UBE2C
BTAF1,RNF157
BTAF1,H1F0
BTAF1,SMARCC2
BTAF1,HSF2
BTAF1,MT2
BTAF1,KAT2B
BTAF1,CKAP4
BTAF1,SMURF2
BTAF1,INTS12
BTAF1,TCF4
BTAF1,SMAD3
BTAF1,NFATC2IP
BTAF1,ARHGEF40
BTAF1,HSPB1
BTAF1,PMS1
BTAF1,RBPMS2
BTAF1,DMRT1
BTAF1,KLF4
BTAF1,BCAM
BTAF1,TRP53BP1
BTAF1,FXR1
BTAF1,STAT5B
BTAF1,PTPN14
BTAF1,RNF6
BTAF1,UCHL1
BTAF1,SOAT1
BTAF1,PLOD3
BTAF1,PITX1
BTAF1,COPS2
BTAF1,DDX20
BTAF1,PMM1
BTAF1,FN1
BTAF1,CRY1
BTAF1,KRBA1
BTAF1,RCOR2
BTAF1,MAPK11
BTAF1,EMX2
BTAF1,BTG1
BTAF1,NDRG1
BTAF1,BTG2
BTAF1,ETV4
BTAF1,REST
BTAF1,ZFP57
BTAF1,NAA15
BTAF1,FRMD4A
BTAF1,EPHA2
BTAF1,KHDC3
BTAF1,NR2C1
BTAF1,ZHX3
BTAF1,SRSF1
BTAF1,TCEA3
BTAF1,PKNOX2
BTAF1,NR2F6
BTAF1,CSF1
BTAF1,ETS1
BTAF1,SOX2
BTAF1,CHCHD10
BTAF1,ILF3
BTAF1,SKIL
BTAF1,THRAP3
BTAF1,GABBR1
BTAF1,SEC24D
BTAF1,PAPOLA
BTAF1,NFYB
BTAF1,ZFP91
BTAF1,CNOT2
BTAF1,PARVB
BTAF1,CNOT8
BTAF1,ELF2
BTAF1,SMARCB1
BTAF1,TMED2
BTAF1,PREB
BTAF1,COL4A2
BTAF1,COL4A1
BTAF1,KLF9
BTAF1,HNRNPK
BTAF1,NPAS2
BTAF1,KHDRBS1
BTAF1,RARG
BTAF1,MAPK3
BTAF1,ZMYM2
BTAF1,PAX1
BTAF1,ARNTL
BTAF1,SDC4
BTAF1,TFEB
BTAF1,TGFB1
BTAF1,MXD4
BTAF1,LRP2
BTAF1,UBP1
BTAF1,BASP1
BTAF1,RB1
BTAF1,VEZF1
BTAF1,MAFK
BTAF1,CEMIP
BTAF1,RRBP1
BTAF1,RBMXL2
BTAF1,ZBTB10
BTAF1,RCC2
BTAF1,ZMYND11
BTAF1,NRIP1
BTAF1,LHX2
BTAF1,TMEM150A
BTAF1,ABTB1
BTAF1,SOS2
BTAF1,POU6F1
BTAF1,PAX6
BTAF1,SERPINE2
BTAF1,DNAJC2
BTAF1,ZEB2
BTAF1,ZYX
BTAF1,EBF1
BTAF1,STARD10
BTAF1,GTF2H3
BTAF1,ANKS1
BTAF1,HSBP1
BTAF1,TCF7L2
BTAF1,FGF3
BTAF1,SSR3
BTAF1,SAP30
BTAF1,JUND
BTAF1,BAZ1A
BTAF1,ALG13
BTAF1,UHRF1
BTAF1,GTF3C1
BTAF1,IMPDH1
BTAF1,TBX18
BTAF1,SALL1
BTAF1,SREBF1
BTAF1,P4HA2
BTAF1,PLAG1
BTAF1,HEY2
BTAF1,DNMT3A
BTAF1,BARD1
BTAF1,TRRAP
BTAF1,RUNX1
BTAF1,POLR2B
BTAF1,CBX6
BTAF1,E2F4
BTAF1,MAPK8
BTAF1,ZFP236
BTAF1,ETV6
BTAF1,LRRK1
BTAF1,DDX54
BTAF1,DDB1
BTAF1,PHLDB2
BTAF1,ATF2
BTAF1,HDAC11
BTAF1,POLR1C
BTAF1,HSP90B1
BTAF1,MLXIPL
BTAF1,TAX1BP3
BTAF1,SOCS2
BTAF1,TEAD3
BTAF1,MAPK13
BTAF1,MYH9
BTAF1,COTL1
BTAF1,RAB3IL1
BTAF1,SMAD2
BTAF1,IRF2
BTAF1,MBD2
BTAF1,MORF4L2
BTAF1,POLR3D
BTAF1,GLUL
BTAF1,CENPB
BTAF1,SLC25A5
BTAF1,ERF
BTAF1,HNRNPD
BTAF1,HTRA1
BTAF1,ANXA2
BTAF1,CHD4
BTAF1,SRI
BTAF1,CRAMP1L
BTAF1,BEND5
BTAF1,HDAC7
BTAF1,KANK2
BTAF1,CHD5
BTAF1,KAT6B
BTAF1,FST
BTAF1,SPRY2
BTAF1,POU2F1
BTAF1,ZEB1
BTAF1,EYA1
BTAF1,EGR1
BTAF1,OBSL1
BTAF1,TFCP2L1
BTAF1,PDIA6
BTAF1,GTF2I
BTAF1,MSC
BTAF1,UNG
BTAF1,POLR1B
BTAF1,HES6
BTAF1,UTF1
BTAF1,ECD
BTAF1,MIS18BP1
BTAF1,ERCC8
BTAF1,LMO4
BTAF1,TLE1
BTAF1,PRDM1
BTAF1,PHF2
BTAF1,CHST15
BTAF1,NOTUM
BTAF1,CREB3L2
BTAF1,CSRP2
BTAF1,NFIL3
BTAF1,CTBP2
BTAF1,NFIB
BTAF1,PHF12
BTAF1,POLR2A
BTAF1,WWTR1
BTAF1,AGAP3
BTAF1,BCAT1
BTAF1,SIN3A
BTAF1,PHF1
BTAF1,SPEN
BTAF1,MEIS1
BTAF1,TRIM25
BTAF1,NFXL1
BTAF1,KLF10
BTAF1,APP
BTAF1,UBQLN2
BTAF1,CDC20
BTAF1,GLI2
BTAF1,RBM14
BTAF1,HSPH1
BTAF1,FHL2
BTAF1,IRF6
BTAF1,CIC
BTAF1,PLTP
BTAF1,ID4
BTAF1,AKT1
BTAF1,FOSL2
BTAF1,BIN1
BTAF1,TOX3
BTAF1,BMPER
BTAF1,SLC6A8
BTAF1,MPHOSPH8
BTAF1,PAWR
BTAF1,JARID2
BTAF1,IKBKB
BTAF1,CRIP2
BTAF1,DDX5
BTAF1,LOXL2
BTAF1,ASS1
BTAF1,SIX5
BTAF1,ING1
BTAF1,HDAC3
BTAF1,MANF
BTAF1,OVOL1
BTAF1,NFATC4
BTAF1,PFKP
BTAF1,SNAI1
BTAF1,GLI1
BTAF1,POLR2E
BTAF1,SPOCK1
BTAF1,CTSZ
BTAF1,MAZ
BTAF1,NKRF
BTAF1,BARX1
BTAF1,SOX7
BTAF1,ING3
BTAF1,CLCN5
BTAF1,CBX4
BTAF1,COL27A1
BTAF1,TBPL1
BTAF1,POU4F2
BTAF1,SOX4
BTAF1,TGIF1
BTAF1,SGK1
BTAF1,PTH1R
BTAF1,ESRRB
BTAF1,KDELR3
BTAF1,MITF
BTAF1,SNAPC3
BTAF1,EPS8
BTAF1,CRABP2
BTAF1,SMAD7
BTAF1,SLC9A6
BTAF1,GRB10
BTAF1,RBBP7
BTAF1,FAM234A
BTAF1,TBL1X
BTAF1,POU4F1
BTAF1,STAT5A
BTAF1,NME2
BTAF1,CCN2
BTAF1,TCF20
BTAF1,SIRT2
BTAF1,PITX2
BTAF1,ZDHHC15
BTAF1,VEGFA
BTAF1,DCXR
BTAF1,PBX4
BTAF1,TENM4
BTAF1,TWIST1
BTAF1,HMGA2
BTAF1,FGF10
BTAF1,SND1
BTAF1,SPRY4
BTAF1,ZFP423
BTAF1,ELK1
BTAF1,SLCO3A1
BTAF1,FOXQ1
BTAF1,ISYNA1
BTAF1,GAS6
BTAF1,SALL4
BTAF1,CDKN1A
BTAF1,NRG1
BTAF1,SIX1
BTAF1,JUN
BTAF1,EHMT2
BTAF1,MED15
BTAF1,HIST1H2BB
BTAF1,UBTF
BTAF1,COMMD3
BTAF1,CNOT6L
BTAF1,DAXX
BTAF1,GATA3
BTAF1,RLIM
BTAF1,FOXO1
BTAF1,GZF1
BTAF1,TRIB3
BTAF1,ZFPM1
BTAF1,LTBP4
BTAF1,BMP6
BTAF1,HOPX
BTAF1,D230025D16RIK
BTAF1,HIST1H4K
BTAF1,ZDHHC16
BTAF1,BMI1
BTAF1,FGFR3
BTAF1,NSD1
BTAF1,TRH
BTAF1,TSHZ3
BTAF1,MORC4
BTAF1,ADAM19
BTAF1,MED4
BTAF1,FOXD3
BTAF1,NDN
BTAF1,HMGA1B
BTAF1,HMGA1
BTAF1,TIMP3
BTAF1,MCM3
BTAF1,MSX2
BTAF1,BTBD11
BTAF1,CKB
BTAF1,TRIP11
BTAF1,MED21
BTAF1,SIRT3
BTAF1,GTF3C5
BTAF1,TAGLN2
BTAF1,PLOD1
BTAF1,CBX8
BTAF1,CHD7
BTAF1,AMPD2
BTAF1,EMP2
BTAF1,SLC26A10
BTAF1,SATB2
BTAF1,NR1H2
BTAF1,KLF13
BTAF1,TADA3
BTAF1,POLR2J
BTAF1,MGST3
BTAF1,ATF3
BTAF1,NFIA
BTAF1,MEN1
BTAF1,NR3C1
BTAF1,PCBD1
BTAF1,TFE3
BTAF1,CCNB1
BTAF1,CTSD
BTAF1,UPP1
BTAF1,TFAP4
BTAF1,FOXO3
BTAF1,CST3
BTAF1,TFAP2C
BTAF1,NFATC1
BTAF1,DTX1
BTAF1,VSIR
BTAF1,GNAS
BTAF1,LMF2
BTAF1,RUVBL1
BTAF1,ZFP296
BTAF1,ZBTB7A
BTAF1,CALU
BTAF1,FXYD6
BTAF1,FOXA2
BTAF1,CITED1
BTAF1,ZFP275
BTAF1,PA2G4
BTAF1,MCM7
BTAF1,NR2F2
BTAF1,EPAS1
BTAF1,SORD
BTAF1,ECT2
BTAF1,GJB3
BTAF1,ATF7
BTAF1,HIVEP2
BTAF1,CCNG1
BTAF1,DDIT3
BTAF1,PDCD11
BTAF1,ATP6V0A1
BTAF1,EPHA4
BTAF1,KLF6
BTAF1,JAM2
BTAF1,IGF2
BTAF1,SPP1
BTAF1,PROX1
BTAF1,PEG3
BTAF1,CREB5
BTAF1,ANP32A
BTAF1,GATA4
BTAF1,PDGFRA
BTAF1,CCND1
BTAF1,ESPL1
BTAF1,NR0B1
BTAF1,ANKRD49
BTAF1,CTSA
BTAF1,KRT8
BTAF1,TXNIP
BTAF1,CTSL
BTAF1,NFKB2
BTAF1,MEIS3
BTAF1,HSPA5
BTAF1,SNURF
BTAF1,RAPGEF3
BTAF1,NFIC
BTAF1,DCP1A
BTAF1,KNTC1
BTAF1,SERPINH1
BTAF1,MCM4
BTAF1,ZIC3
BTAF1,TAF6
BTAF1,MED12
BTAF1,TOX4
BTAF1,FABP3
BTAF1,DAB2
BTAF1,POLR2I
BTAF1,MEF2C
BTAF1,LAMB1
BTAF1,RFX5
BTAF1,TINAGL1
BTAF1,TET1
BTAF1,ASH1L
BTAF1,IFITM2
BTAF1,CALR
BTAF1,TRIM32
BTAF1,CMKLR1
BTAF1,TUBB2B
BTAF1,IRF3
BTAF1,NR1D1
BTAF1,ATM
BTAF1,DUSP9
BTAF1,2200002D01RIK
BTAF1,MYBBP1A
BTAF1,PER1
BTAF1,ZFP987
BTAF1,CELF3
BTAF1,TUBA4A
BTAF1,POLR3F
BTAF1,ILF2
BTAF1,ZFP462
BTAF1,HS3ST1
BTAF1,VIM
BTAF1,PLRG1
BTAF1,TRP53
BTAF1,MT1
BTAF1,OPLAH
BTAF1,NONO
BTAF1,ANXA5
BTAF1,AU018091
BTAF1,SP8
BTAF1,KRT42
BTAF1,POLR1A
BTAF1,DDB2
BTAF1,POU5F1
BTAF1,HNF1B
BTAF1,DPP4
BTAF1,SHKBP1
BTAF1,GTF2A1L
BTAF1,ZFP36L1
BTAF1,STARD8
BTAF1,FRRS1
BTAF1,LY6G6E
BTAF1,STXBP2
BTAF1,SMARCA2
BTAF1,ELF4
BTAF1,TOP2A
BTAF1,CEBPZ
BTAF1,THBD
BTAF1,OTX2
BTAF1,MED31
BTAF1,RUVBL2
BTAF1,HNF4A
BTAF1,MCM5
BTAF1,MCM2
BTAF1,L1TD1
BTAF1,NID1
BTAF1,HCFC1
BTAF1,ABT1
BTAF1,RUNX3
BTAF1,DDAH2
BTAF1,MYMX
BTAF1,GPX3
BTAF1,TOPORS
BTAF1,TAF6L
BTAF1,ARID5B
BTAF1,HIP1
BTAF1,ELL3
BTAF1,SELENOW
CBX7,BMP6
CBX7,OVOL1
CBX7,ZEB1
CBX7,COL27A1
CBX7,FGF3
CBX7,HTRA1
CBX7,ESRRB
CBX7,CUX1
CBX7,CREB5
CBX7,HOPX
CBX7,MAML3
CBX7,ID4
CBX7,SATB1
CBX7,GRB10
CBX7,FOXQ1
CBX7,SLCO3A1
CBX7,FGFR3
CBX7,NPAS2
CBX7,BMPER
CBX7,CHST15
CBX7,BTBD11
CBX7,FOXP1
CBX7,NFIA
CBX7,CSF1
CBX7,PTH1R
CBX7,GAS6
CBX7,DMRT1
CBX7,PAX8
CBX7,GDPD5
CBX7,GNAS
CBX7,IRF4
CBX7,SOX7
CBX7,THBD
CBX7,IRF2
CBX7,HIVEP2
CBX7,HOXD13
CBX7,TOX3
CBX7,ZFPM1
CBX7,LRRK1
CBX7,CITED1
CBX7,APP
CBX7,FST
CBX7,PKNOX2
CBX7,COL4A2
CBX7,COL4A1
CBX7,KHDC3
CBX7,SPOCK1
CBX7,VIM
CBX7,HEY2
CBX7,PRRX2
CBX7,PRDM14
CBX7,EOMES
CBX7,PODXL
CBX7,FRMD4A
CBX7,EBF4
CBX7,ZBTB10
CBX7,DTX1
CBX7,MRAS
CBX7,POU4F2
CBX7,DKK1
CBX7,FHL2
CBX7,TWIST1
CBX7,MEF2C
CBX7,ZEB2
CBX7,SERPINE2
CBX7,ATF3
CBX7,MLXIPL
CBX7,EPAS1
CBX7,SALL1
CBX7,JDP2
CBX7,EBF1
CBX7,HMGA2
CBX7,JUN
CBX7,LRP2
CBX7,ID3
CBX7,OBSL1
CBX7,BMI1
CBX7,P4HA2
CBX7,NRG1
CBX7,TBX18
CBX7,SATB2
CBX7,SOX4
CBX7,BIN1
CBX7,PHLDB2
CBX7,FGF10
CBX7,TEAD4
CBX7,HDAC7
CBX7,PTPN14
CBX7,TGFB1
CBX7,LHX2
CBX7,KDELR3
CBX7,IGF2
CBX7,MSC
CBX7,MKX
CBX7,NDN
CBX7,POU6F1
CBX7,SMARCA2
CBX7,EMP2
CBX7,ARHGAP29
CBX7,KLF4
CBX7,BMP4
CBX7,ETS1
CBX7,STAT5B
CBX7,NDRG1
CBX7,NFIL3
CBX7,NR2F2
CBX7,MSX2
CBX7,NOTUM
CBX7,SEMA4C
CBX7,HNF1B
CBX7,HS3ST1
CBX7,MORC4
CBX7,DPP4
CBX7,ELAVL2
CBX7,BCAT1
CBX7,POU4F1
CBX7,NID1
CBX7,NFATC1
CBX7,TIMP3
CBX7,EMX2
CBX7,VEGFA
CBX7,LOXL2
CBX7,IMPDH1
CBX7,COMMD3
CBX7,KIT
CBX7,KLF2
CBX7,TIMP2
CBX7,NOTCH1
CBX7,PAX1
CBX7,FABP3
CBX7,LAMA1
CBX7,EPHA4
CBX7,E2F6
CBX7,ZFHX3
CBX7,SOX17
CBX7,FOSL2
CBX7,LAMB1
CBX7,BAZ1A
CBX7,TFAP2C
CBX7,FOXA2
CBX7,SOS2
CBX7,SIX5
CBX7,EYA1
CBX7,FOXD3
CBX7,MT1
CBX7,GATA3
CBX7,PDGFRA
CBX7,CKB
CBX7,TENM4
CBX7,PAX6
CBX7,RAPGEF3
CBX7,SHROOM3
CBX7,PITX2
CBX7,KLF15
CBX7,ELF2
CBX7,SIX1
CBX7,RUNX1
CBX7,CLCN5
CBX7,CEMIP
CBX7,GLI2
CBX7,HSPB1
CBX7,CDKN1A
CBX7,PHF12
CBX7,HES6
CBX7,TXNIP
CBX7,STAT5A
CBX7,NFIC
CBX7,STARD10
CBX7,MEIS1
CBX7,TCEA3
CBX7,RFX2
CBX7,GBX2
CBX7,ANXA5
CBX7,PHLDA3
CBX7,NFIB
CBX7,TYRO3
CBX7,SFI1
CBX7,RFXAP
CBX7,OTX2
CBX7,SMAD3
CBX7,ANXA2
CBX7,B2M
CBX7,DNMT3A
CBX7,ARHGEF40
CBX7,ZFP423
CBX7,SDC4
CBX7,SLC25A4
CBX7,UPP1
CBX7,STARD8
CBX7,MME
CBX7,RBMXL2
CBX7,ARID5B
CBX7,HDAC2
CBX7,MYC
CBX7,PROX1
CBX7,TSHZ3
CBX7,ZYX
CBX7,MTF2
CBX7,VEZF1
CBX7,KRT8
CBX7,DUSP9
CBX7,JAM2
CBX7,IGFBP2
CBX7,TCF12
CBX7,ABHD5
CBX7,RASGRP2
CBX7,ARNT2
CBX7,NR0B1
CBX7,GATA6
CBX7,DAB2
CBX7,PARVB
CBX7,GJB3
CBX7,GATA4
CBX7,TRH
CBX7,MAPK11
CBX7,ARNTL
CBX7,TBX3
CBX7,LEFTY2
CBX7,CUX2
CBX7,SPEN
CBX7,SNAI1
CBX7,F3
CBX7,PURA
CBX7,CRY1
CBX7,MT2
CBX7,FOXJ2
CBX7,CHD5
CBX7,ZHX3
CBX7,TUBB6
CBX7,NR3C1
CBX7,CD63
CBX7,P4HA1
CBX7,LAMA5
CBX7,CHD7
CBX7,ZFP36L1
CBX7,ZFP277
CBX7,GLDC
CBX7,VSIR
CBX7,ME1
CBX7,E2F2
CBX7,LDHB
CBX7,SGK1
CBX7,ZFP91
CBX7,HIST1H1D
CBX7,CAR2
CBX7,PLAG1
CBX7,TRPS1
CBX7,CMKLR1
CBX7,FLRT3
CBX7,BARX1
CBX7,GLIPR2
CBX7,SP1
CBX7,SLC7A6
CBX7,TAF6
CBX7,TLE1
CBX7,TCERG1
CBX7,SELENOW
CBX7,BEND5
CBX7,APBB1
CBX7,HIP1
CBX7,PRDM1
CBX7,WWTR1
CBX7,MYMX
CBX7,TRIP11
CBX7,CKAP4
CBX7,SLC6A8
CBX7,FGF4
CBX7,NR5A2
CBX7,IRF6
CBX7,PDPN
CBX7,TFE3
CBX7,ASS1
CBX7,TUBA4A
CBX7,TMSB4X
CBX7,EGR1
