,TF,index
165,EPAS1,290
166,RFX2,292
167,PELP1,295
168,POU5F1,299
169,HIST1H1B,300
170,ABTB1,302
171,RCOR2,303
172,MAZ,304
173,MAPK11,308
174,ZIC3,314
175,AKT1,315
176,HMGA2,316
177,SMAD7,317
178,RYBP,323
179,HDAC11,324
180,SATB2,325
181,CBX7,326
182,HDAC1,327
183,DDX5,329
184,ZBTB10,330
185,NUPR1,331
186,ETV3,334
187,NR1D2,340
188,MAPK13,343
189,APEX1,344
190,PIAS3,350
191,MIS18BP1,352
192,NR1H2,354
193,MSC,355
194,PDCD11,357
195,CITED2,358
196,NDN,359
197,PCBP2,361
198,LMO4,365
199,ORC2,366
200,SMARCB1,368
201,ATF7,369
202,CNOT3,371
203,TGIF1,372
204,ARID3B,373
205,PHF20,377
206,STAT5B,378
207,RAD51,381
208,GATA6,382
209,SKIL,383
210,RNF19A,385
211,STAT4,387
212,MCM4,388
213,PEG3,390
214,POLR2B,395
215,ZBTB38,397
216,TAF5,398
217,ZFP768,403
218,TBX3,405
219,RERE,409
220,DAXX,410
221,HNF1B,412
222,KLF10,417
223,POLR1E,421
224,HMGXB4,423
225,RFXAP,424
226,RFX5,427
227,BCL3,428
228,SPEN,429
229,NRF1,431
230,LDB1,432
231,TEAD1,438
232,ZFP281,439
233,TBL1X,442
234,PREB,444
235,TFE3,446
236,ZBTB3,449
237,AES,450
238,EZH1,451
239,NRIP1,452
240,SFPQ,453
241,MCM3,454
242,PARP1,457
243,NCOR1,459
244,TRIM24,460
245,MED15,461
246,NFATC1,464
247,AIP,465
248,ZBTB20,468
249,H1F0,469
250,RARA,471
251,CRY1,475
252,CNOT7,480
253,HDAC4,485
254,YEATS4,486
255,MPHOSPH8,487
256,SIX1,488
257,CTCF,489
258,INTS12,490
259,ZEB1,491
260,HDAC2,494
261,JARID2,495
262,POLR2H,496
263,SOX7,497
264,SIRT3,498
265,ING3,499
266,GTF3C1,500
267,CREBZF,501
268,SMARCC1,502
269,ID4,503
270,TIMELESS,506
271,ETV1,507
272,PLAGL2,508
273,HNRNPD,509
274,JDP2,510
275,NR3C1,511
276,TRIM25,512
277,FXR2,513
278,MDM2,516
279,TOP2B,518
280,CSF1,520
281,MAML1,521
282,CBX4,523
283,GNRH1,528
284,TAF9,534
285,NFE2L1,536
286,SMAD2,538
287,BCLAF1,542
288,TADA3,543
289,SMARCA4,544
290,TRRAP,545
291,NPAS2,546
292,TCF4,547
293,GLIS2,548
294,GZF1,549
295,PKNOX2,551
296,LHX2,552
297,POLR1C,553
298,ZFP276,557
299,RHOX6,558
300,RIF1,559
301,FOXO3,561
302,TSHZ3,563
303,FUS,564
304,TMF1,565
305,BRWD1,568
306,DDIT3,571
307,CTNNBIP1,572
308,DDB1,573
309,DNMT3A,574
310,RNF2,575
311,POU6F1,577
312,HES1,578
313,HSBP1,580
314,BRCA1,581
315,PCBD1,584
316,PHF2,585
317,GLI2,588
318,MEF2A,590
319,ERF,596
320,KLF3,597
321,ZFP335,601
322,GRIN1,602
323,NCOA6,604
324,RUNX3,606
325,SNAI1,607
326,RBMXL2,608
327,NFXL1,609
328,FOXJ2,610
329,SALL1,611
330,EYA1,612
331,CREB5,615
332,NACC1,617
333,TAX1BP3,618
334,ZSWIM4,619
335,ILK,621
336,DDB2,622
337,MITF,624
338,SRRT,626
339,BRD7,634
340,ZFHX3,635
341,POLR2A,636
342,ELF4,637
343,SAP30,639
344,CNOT6L,640
345,NFIL3,642
346,DPPA2,644
347,SMARCC2,645
348,ZHX3,648
349,BACH2,650
350,DPPA4,651
351,E2F2,652
352,KLF2,653
353,ASH1L,654
354,TAF1,655
355,FOXO1,656
356,TRIP11,657
357,TCF7L2,658
358,DCP1A,659
359,PLRG1,660
360,RUNX1,661
361,RBMX,662
362,SND1,663
363,WBP11,664
364,HIVEP2,666
365,CEBPZ,667
366,DNAJC2,670
367,TCEA1,672
368,FOXH1,673
369,BTBD11,674
370,ZFP236,675
371,ZFP592,677
372,ZFAND3,679
373,FOXA2,680
374,ING1,682
375,STAT5A,684
376,HDAC5,689
377,TET2,691
378,E2F4,692
379,MTA3,694
380,SMURF1,695
381,POLR1B,697
382,MED31,703
383,HMGA1,706
384,NOTCH2,708
385,NFIA,709
386,CIC,713
387,DDX58,715
388,PML,716
389,SERTAD2,719
390,PITX1,721
391,MYBL2,722
392,DIDO1,723
393,TRP53BP1,724
394,SMARCA5,726
395,SMAD4,728
396,POU2F1,729
397,MED12,730
398,CITED1,731
399,IRF6,732
400,SRF,734
401,TBPL1,735
402,POLR3D,736
403,CUX2,737
404,MAPK3,738
405,DNMT1,739
406,NR2F6,740
407,ELP2,742
408,GATA4,743
409,ZFP91,746
410,NOTCH4,747
411,HSF2,748
412,RAI14,749
413,MTF2,752
414,GTF2H3,753
415,NONO,754
416,CNOT8,755
417,NFKBIA,756
418,ZFP42,758
419,NFX1,760
420,EP300,761
421,POLR2I,762
422,ILF2,763
423,RBFOX2,765
424,ID3,766
425,CELF3,767
426,NAA15,769
427,TRIM13,770
428,ZBTB43,771
429,DR1,773
430,JUN,774
431,GRHL1,776
432,HIF1A,777
433,POLR1A,778
434,APBB1,781
435,MYD88,783
436,POLR3F,784
437,FHL2,787
438,TCOF1,788
439,ETV4,789
440,REST,790
441,TBX18,792
442,FUBP3,793
443,SNAPC3,796
444,HIF3A,798
445,ELAVL2,799
446,HDGF,801
447,TWIST1,802
448,JUND,804
449,SMAD3,805
450,PAPOLA,807
451,NFIC,809
452,ARNTL,812
453,SP8,813
454,PAWR,814
455,ESRRB,815
456,CNOT2,816
457,BMP6,817
458,CTBP1,818
459,MEF2C,819
460,ZFP277,820
461,VEZF1,821
462,TCERG1,822
463,ZFP462,824
464,TCF20,825
465,DAB2,827
466,TFAP4,829
467,MAFK,831
468,ZEB2,832
469,RELA,834
470,BTAF1,835
471,ZFPM1,836
472,BRCA2,839
473,GATA3,840
474,CBX8,842
475,ESPL1,844
476,CTNNBL1,845
477,L3MBTL2,848
478,SP1,849
479,CRABP2,850
480,ID2,851
481,MEIS3,853
482,TET1,855
483,TRIB3,857
484,TOX3,860
485,EZH2,862
486,HIST1H2BB,863
487,ATF6,865
488,BTG1,866
489,UBP1,869
490,EHMT2,870
491,ATM,871
492,YBX1,873
493,FOXD3,874
494,HDAC7,875
495,ESRRA,877
496,ZFP148,878
497,HSF2BP,879
498,CNOT6,884
499,RBL1,887
500,ZFP398,888
501,RAPGEF3,891
502,PRRX2,893
503,NSD1,895
504,DEK,896
505,TGFB1I1,897
506,ZFP57,899
507,HNF4A,903
508,SRSF1,908
509,SMURF2,910
510,E2F1,911
511,ERCC8,913
512,BIN1,914
513,BARX1,918
514,TRIM32,919
515,ZBTB39,920
516,PAX1,921
517,CHD5,922
518,ZFP36L1,924
519,AATF,925
520,PHC1,926
521,ZBTB24,927
522,ASH2L,929
523,TRIM28,930
524,MXD4,931
525,PRDM5,932
526,MCM5,933
527,EOMES,934
528,ELL3,935
529,KPNA2,937
530,TCF7,938
531,ZMYND11,941
532,HOPX,942
533,TTF2,943
534,DAZAP2,944
535,EGR1,945
536,MYC,946
537,SREBF1,947
538,SOX2,949
539,ETS1,950
540,ELF1,951
541,SIRT2,952
542,IKBKB,956
543,KLF4,957
544,KLF6,958
545,NME2,959
546,HIST1H1D,961
547,KNTC1,967
548,POLR2J,968
549,BMP4,970
550,ANKRD49,971
551,MEIS1,974
552,PMS1,975
553,ANKRD6,976
554,ZSCAN10,979
555,RB1,980
556,HTT,982
557,RLIM,985
558,GATAD2B,988
559,GABPA,989
560,ASXL1,990
561,GTF3C5,992
562,USF1,994
563,RBBP4,1000
564,NFYA,1003
565,ZFP275,1004
566,SMARCAD1,1005
567,PAX6,1007
568,HMGXB3,1011
569,ETV6,1014
570,ANKS1,1015
571,DTX1,1019
572,MKX,1021
573,NFKB2,1026
574,ELL2,1028
575,ZDHHC15,1031
576,JMJD1C,1033
577,MEF2D,1034
578,TAF10,1037
579,CCND1,1038
580,SCMH1,1039
581,ARID5B,1040
582,CHD7,1041
583,COPS2,1042
584,ETV5,1044
585,TFAP2C,1046
586,PROX1,1047
587,ELK1,1048
588,TEAD4,1050
589,PA2G4,1052
590,TAF6L,1054
591,ATF3,1059
592,NKRF,1060
593,HSPB1,1062
594,NFE2L2,1064
595,PATZ1,1065
596,NR2C1,1066
597,PIAS2,1067
598,ELF2,1070
599,SRSF3,1071
600,TULP3,1072
601,CDC5L,1073
602,MCM6,1074
603,TFCP2L1,1075
604,AIRE,1076
605,GBX2,1077
606,MED21,1078
607,NFATC4,1080
608,XRCC5,1082
609,ANKRD54,1083
610,EWSR1,1084
611,ILF3,1086
612,HES6,1089
613,RBPJ,1094
614,PIAS1,1097
615,SUB1,1102
616,SMARCA2,1104
617,ELF3,1107
618,PHF1,1108
619,MYCN,1109
620,EBF4,1111
621,TOX4,1112
622,CREB3L2,1115
623,ZBTB7A,1116
624,MLXIP,1117
625,GABBR1,1118
626,ATF1,1119
