,TF,index
185,TRPS1,412
186,CNTRL,414
187,ZIC2,415
188,PHF17,416
189,TCOF1,419
190,EGF,422
191,SIX6,429
192,GRHL1,430
193,MAML3,431
194,CEBPZ,435
195,POLR3E,436
196,YBX1,442
197,MXI1,443
198,ETS1,447
199,ZNF587,451
200,SMARCD3,452
201,SMAD2,454
202,SRC,455
203,RUVBL2,456
204,POLR2I,457
205,POLR2K,459
206,AFF4,462
207,PLAGL1,467
208,SOX5,471
209,TBX20,473
210,PSIP1,474
211,POU3F1,475
212,DEK,476
213,AES,479
214,SRSF2,480
215,NHLH2,482
216,PRIC285,484
217,REL,485
218,RAI1,487
219,ZNF585B,489
220,E2F4,493
221,RNF19A,494
222,SKIL,495
223,HNRNPAB,497
224,MDM4,498
225,POLR2D,499
226,IFI16,503
227,SUPT7L,504
228,SMAD6,507
229,GATA6,515
230,KLF5,516
231,MYCN,517
232,UPF1,522
233,FLI1,523
234,SOS2,526
235,ASH2L,529
236,TLR7,531
237,TRIM28,532
238,PPARA,533
239,SUPT16H,535
240,MYBL2,538
241,MCM3,539
242,ZNF488,545
243,ZNF589,547
244,SFPQ,548
245,RBM14,553
246,FOXF1,557
247,FOXP1,558
248,CSRP2,560
249,ZNF471,562
250,NFKBIA,563
251,POLR1B,564
252,ELAVL2,566
253,MCM2,567
254,SMARCC1,571
255,NFAT5,575
256,ETV4,576
257,SNAPC3,579
258,ZNF165,580
259,GATA2,584
260,AFF1,585
261,HOXB7,588
262,RNPS1,592
263,TRIP6,593
264,PATZ1,594
265,SALL3,598
266,POU2F1,608
267,MED14,609
268,RNF14,612
269,RAX2,615
270,HOXB3,616
271,GATA3,618
272,HCFC1,619
273,NFYB,620
274,ZNF146,621
275,KHDRBS2,623
276,STAT3,624
277,NFIB,625
278,E2F7,626
279,WDR5,627
280,DMBX1,630
281,ANKZF1,634
282,BMPR1A,635
283,NPM1,647
284,TWIST1,649
285,PARP1,651
286,ZFP42,654
287,FXR1,655
288,NRIP1,656
289,CBFA2T2,658
290,LHX1,659
291,SF1,660
292,ZRANB2,661
293,DNMT1,665
294,KLF7,666
295,CDCA7L,667
296,MEIS2,669
297,TGFB1,670
298,SRSF1,675
299,SETBP1,677
300,ID3,681
301,MAFG,684
302,GSC,687
303,GCM1,688
304,APBB1,690
305,CTBP1,691
306,CBX3,694
307,ZNF107,695
308,SMG6,697
309,MEF2D,698
310,HOXB6,700
311,ISL1,701
312,ALS2CR8,704
313,RBPJ,707
314,AEBP1,712
315,BARX2,714
316,TLE2,715
317,CCND1,719
318,TBX3,722
319,ZNF24,723
320,TFE3,724
321,HOPX,726
322,MCM5,728
323,SERTAD2,731
324,GTF2H2,732
325,HIST1H1B,733
326,ZNF239,734
327,LIN28A,735
328,BRWD1,736
329,ZEB1,738
330,EGR1,740
331,MYOCD,742
332,ARID5B,743
333,ETV1,744
334,PITX2,748
335,DACH1,751
336,PTMA,757
337,AIP,759
338,WWP1,760
339,TCF7L1,767
340,CITED2,772
341,ZHX3,773
342,POLR2G,774
343,DPF2,775
344,ASB9,776
345,NR0B1,778
346,NFE2L3,779
347,BCL11B,782
348,XRCC5,784
349,CSDE1,785
350,ZNF238,788
351,FOXD3,789
352,HIF3A,790
353,EZH2,793
354,RORB,794
355,E2F3,795
356,PSMD9,796
357,PHF21A,801
358,TAF1L,802
359,PRDM1,805
360,ZNF160,806
361,GTF3C4,808
362,RXRG,812
363,CREB3L4,813
364,EHMT2,815
365,ZNF8,817
366,POLR2F,819
367,MYBBP1A,820
368,NR2C1,823
369,ZBTB38,824
370,HAND1,826
371,SFMBT1,829
372,CIITA,832
373,LIMD1,835
374,EWSR1,836
375,POLR1C,839
376,TRAF6,840
377,ALYREF,844
378,MAPK10,846
379,HOXB2,847
380,ZNF83,848
381,PBX1,852
382,TRIM27,854
383,KAT7,856
384,NAA15,859
385,SHOX2,861
386,SNAPC4,863
387,ZKSCAN1,864
388,GRHL2,865
389,MAFF,866
390,IRF1,868
391,HMGN2,869
392,ZFHX3,871
393,TRIM22,872
394,LEF1,873
395,ATF6,879
396,MLLT3,882
397,TGFB1I1,884
398,APEX1,888
399,ARID3A,889
400,HIF1A,892
401,MLL3,893
402,ID1,894
403,POU5F1,895
404,POLR2H,896
405,STAT2,899
406,SNAI2,900
407,ANKRD1,901
408,NFIA,902
409,TEAD4,908
